"繪圖標題：no.7"
"#","日期 時間, GMT+08:00","DO 濃度, mg/L (LGR S/N: 20266245, SEN S/N: 20266245)","溫度, °C (LGR S/N: 20266245, SEN S/N: 20266245)","未連接聯結器 (LGR S/N: 20266245)","已連接聯結器 (LGR S/N: 20266245)","連接的主機 (LGR S/N: 20266245)","已停止 (LGR S/N: 20266245)","檔案結尾 (LGR S/N: 20266245)"
39,04/09/2024 上午07時00分00秒,7.82,25.18,,,,,
40,04/09/2024 上午07時30分00秒,7.85,25.08,,,,,
41,04/09/2024 上午08時00分00秒,7.87,25.00,,,,,
42,04/09/2024 上午08時30分00秒,7.87,24.94,,,,,
43,04/09/2024 上午09時00分00秒,7.90,24.90,,,,,
44,04/09/2024 上午09時30分00秒,7.90,24.92,,,,,
45,04/09/2024 上午10時00分00秒,7.82,25.28,,,,,
46,04/09/2024 上午10時30分00秒,9.03,26.46,,,,,
47,04/09/2024 上午11時00分00秒,9.06,26.30,,,,,
48,04/09/2024 上午11時30分00秒,9.63,26.40,,,,,
49,04/09/2024 下午12時00分00秒,9.71,26.36,,,,,
50,04/09/2024 下午12時30分00秒,10.38,26.38,,,,,
51,04/09/2024 下午01時00分00秒,10.48,26.40,,,,,
52,04/09/2024 下午01時30分00秒,10.98,26.46,,,,,
53,04/09/2024 下午02時00分00秒,11.86,26.54,,,,,
54,04/09/2024 下午02時30分00秒,11.72,26.56,,,,,
55,04/09/2024 下午03時00分00秒,12.22,26.64,,,,,
56,04/09/2024 下午03時30分00秒,13.16,26.66,,,,,
57,04/09/2024 下午04時00分00秒,12.81,26.62,,,,,
58,04/09/2024 下午04時30分00秒,12.95,26.60,,,,,
59,04/09/2024 下午05時00分00秒,12.49,26.52,,,,,
60,04/09/2024 下午05時30分00秒,12.62,26.44,,,,,
61,04/09/2024 下午06時00分00秒,12.33,26.34,,,,,
62,04/09/2024 下午06時30分00秒,11.95,26.22,,,,,
63,04/09/2024 下午07時00分00秒,11.54,26.12,,,,,
64,04/09/2024 下午07時30分00秒,11.21,26.02,,,,,
65,04/09/2024 下午08時00分00秒,10.80,25.92,,,,,
66,04/09/2024 下午08時30分00秒,10.60,25.80,,,,,
67,04/09/2024 下午09時00分00秒,10.27,25.68,,,,,
68,04/09/2024 下午09時30分00秒,9.99,25.58,,,,,
69,04/09/2024 下午10時00分00秒,9.70,25.48,,,,,
70,04/09/2024 下午10時30分00秒,9.38,25.38,,,,,
71,04/09/2024 下午11時00分00秒,9.15,25.32,,,,,
72,04/09/2024 下午11時30分00秒,8.86,25.24,,,,,
73,04/10/2024 上午12時00分00秒,8.63,25.16,,,,,
74,04/10/2024 上午12時30分00秒,8.28,25.10,,,,,
75,04/10/2024 上午01時00分00秒,8.07,25.04,,,,,
76,04/10/2024 上午01時30分00秒,7.80,24.98,,,,,
77,04/10/2024 上午02時00分00秒,7.53,24.94,,,,,
78,04/10/2024 上午02時30分00秒,7.28,24.86,,,,,
79,04/10/2024 上午03時00分00秒,7.05,24.84,,,,,
80,04/10/2024 上午03時30分00秒,6.85,24.80,,,,,
81,04/10/2024 上午04時00分00秒,6.69,24.74,,,,,
82,04/10/2024 上午04時30分00秒,6.47,24.70,,,,,
83,04/10/2024 上午05時00分00秒,6.21,24.66,,,,,
84,04/10/2024 上午05時30分00秒,5.99,24.58,,,,,
85,04/10/2024 上午06時00分00秒,5.77,24.54,,,,,
86,04/10/2024 上午06時30分00秒,5.62,24.48,,,,,
87,04/10/2024 上午07時00分00秒,5.51,24.42,,,,,
88,04/10/2024 上午07時30分00秒,5.48,24.40,,,,,
89,04/10/2024 上午08時00分00秒,5.83,24.42,,,,,
90,04/10/2024 上午08時30分00秒,7.30,24.54,,,,,
91,04/10/2024 上午09時00分00秒,8.17,24.68,,,,,
92,04/10/2024 上午09時30分00秒,8.17,24.80,,,,,
93,04/10/2024 上午10時00分00秒,9.01,24.98,,,,,
94,04/10/2024 上午10時30分00秒,9.46,25.14,,,,,
95,04/10/2024 上午11時00分00秒,12.67,25.40,,,,,
96,04/10/2024 上午11時30分00秒,11.64,25.74,,,,,
97,04/10/2024 下午12時00分00秒,14.56,25.96,,,,,
98,04/10/2024 下午12時30分00秒,16.16,26.26,,,,,
99,04/10/2024 下午01時00分00秒,16.50,26.50,,,,,
100,04/10/2024 下午01時30分00秒,16.10,26.66,,,,,
101,04/10/2024 下午02時00分00秒,17.98,26.90,,,,,
102,04/10/2024 下午02時30分00秒,17.89,27.12,,,,,
103,04/10/2024 下午03時00分00秒,18.36,27.18,,,,,
104,04/10/2024 下午03時30分00秒,18.95,27.26,,,,,
105,04/10/2024 下午04時00分00秒,17.59,27.28,,,,,
106,04/10/2024 下午04時30分00秒,18.00,27.24,,,,,
107,04/10/2024 下午05時00分00秒,17.30,27.26,,,,,
108,04/10/2024 下午05時30分00秒,17.22,27.06,,,,,
109,04/10/2024 下午06時00分00秒,17.24,26.90,,,,,
110,04/10/2024 下午06時30分00秒,16.39,26.66,,,,,
111,04/10/2024 下午07時00分00秒,15.54,26.46,,,,,
112,04/10/2024 下午07時30分00秒,15.12,26.24,,,,,
113,04/10/2024 下午08時00分00秒,14.79,26.06,,,,,
114,04/10/2024 下午08時30分00秒,14.19,25.88,,,,,
115,04/10/2024 下午09時00分00秒,13.94,25.76,,,,,
116,04/10/2024 下午09時30分00秒,13.67,25.64,,,,,
117,04/10/2024 下午10時00分00秒,13.52,25.54,,,,,
118,04/10/2024 下午10時30分00秒,13.25,25.46,,,,,
119,04/10/2024 下午11時00分00秒,12.91,25.36,,,,,
120,04/10/2024 下午11時30分00秒,12.67,25.24,,,,,
121,04/11/2024 上午12時00分00秒,12.36,25.16,,,,,
122,04/11/2024 上午12時30分00秒,12.09,25.10,,,,,
123,04/11/2024 上午01時00分00秒,12.06,25.02,,,,,
124,04/11/2024 上午01時30分00秒,12.12,24.96,,,,,
125,04/11/2024 上午02時00分00秒,11.84,24.88,,,,,
126,04/11/2024 上午02時30分00秒,11.45,24.82,,,,,
127,04/11/2024 上午03時00分00秒,11.09,24.80,,,,,
128,04/11/2024 上午03時30分00秒,10.82,24.74,,,,,
129,04/11/2024 上午04時00分00秒,10.52,24.68,,,,,
130,04/11/2024 上午04時30分00秒,10.33,24.62,,,,,
131,04/11/2024 上午05時00分00秒,9.99,24.56,,,,,
132,04/11/2024 上午05時30分00秒,9.73,24.52,,,,,
133,04/11/2024 上午06時00分00秒,9.51,24.46,,,,,
134,04/11/2024 上午06時30分00秒,9.26,24.42,,,,,
135,04/11/2024 上午07時00分00秒,9.02,24.40,,,,,
136,04/11/2024 上午07時30分00秒,8.95,24.42,,,,,
137,04/11/2024 上午08時00分00秒,9.02,24.50,,,,,
138,04/11/2024 上午08時30分00秒,9.14,24.68,,,,,
139,04/11/2024 上午09時00分00秒,9.16,24.80,,,,,
140,04/11/2024 上午09時30分00秒,9.28,24.94,,,,,
141,04/11/2024 上午10時00分00秒,9.57,25.16,,,,,
142,04/11/2024 上午10時30分00秒,9.89,25.62,,,,,
143,04/11/2024 上午11時00分00秒,10.28,26.14,,,,,
144,04/11/2024 上午11時30分00秒,10.96,26.72,,,,,
145,04/11/2024 下午12時00分00秒,11.46,27.14,,,,,
146,04/11/2024 下午12時30分00秒,11.96,27.52,,,,,
147,04/11/2024 下午01時00分00秒,12.46,27.78,,,,,
148,04/11/2024 下午01時30分00秒,16.16,28.18,,,,,
149,04/11/2024 下午02時00分00秒,16.21,28.44,,,,,
150,04/11/2024 下午02時30分00秒,16.43,28.60,,,,,
151,04/11/2024 下午03時00分00秒,17.05,28.74,,,,,
152,04/11/2024 下午03時30分00秒,7.39,28.08,,,,,
153,04/11/2024 下午04時00分00秒,7.76,26.02,,,,,
154,04/11/2024 下午04時30分00秒,7.97,24.26,,,,,
155,04/11/2024 下午05時00分00秒,8.04,23.48,,,,,
156,04/11/2024 下午05時30分00秒,8.07,23.62,,,,,
157,04/11/2024 下午06時00分00秒,8.03,23.52,,,,,
158,04/11/2024 下午06時30分00秒,8.10,23.52,,,,,
159,04/11/2024 下午07時00分00秒,8.07,24.04,,,,,
160,04/11/2024 下午07時30分00秒,7.99,24.60,,,,,
161,04/11/2024 下午08時00分00秒,7.93,25.06,,,,,
162,04/11/2024 下午08時30分00秒,7.87,25.40,,,,,
163,04/11/2024 下午09時00分00秒,7.83,25.66,,,,,
164,04/11/2024 下午09時30分00秒,7.79,25.54,,,,,
165,04/11/2024 下午10時00分00秒,7.81,24.90,,,,,
166,04/11/2024 下午10時30分00秒,7.84,24.86,,,,,
167,04/11/2024 下午11時00分00秒,7.83,25.12,,,,,
168,04/11/2024 下午11時30分00秒,7.79,25.36,,,,,
169,04/12/2024 上午12時00分00秒,7.75,25.54,,,,,
170,04/12/2024 上午12時30分00秒,7.73,25.66,,,,,
171,04/12/2024 上午01時00分00秒,7.71,25.74,,,,,
172,04/12/2024 上午01時30分00秒,7.71,25.76,,,,,
173,04/12/2024 上午02時00分00秒,7.71,25.76,,,,,
174,04/12/2024 上午02時30分00秒,7.70,25.72,,,,,
175,04/12/2024 上午03時00分00秒,7.71,25.68,,,,,
176,04/12/2024 上午03時30分00秒,7.72,25.64,,,,,
177,04/12/2024 上午04時00分00秒,7.73,25.58,,,,,
178,04/12/2024 上午04時30分00秒,7.75,25.52,,,,,
179,04/12/2024 上午05時00分00秒,7.75,25.46,,,,,
180,04/12/2024 上午05時30分00秒,7.75,25.40,,,,,
181,04/12/2024 上午06時00分00秒,7.77,25.34,,,,,
182,04/12/2024 上午06時30分00秒,7.78,25.28,,,,,
183,04/12/2024 上午07時00分00秒,7.78,25.24,,,,,
184,04/12/2024 上午07時30分00秒,7.78,25.28,,,,,
185,04/12/2024 上午08時00分00秒,7.75,25.44,,,,,
186,04/12/2024 上午08時30分00秒,7.72,25.74,,,,,
187,04/12/2024 上午09時00分00秒,7.67,26.12,,,,,
188,04/12/2024 上午09時30分00秒,7.62,26.52,,,,,
189,04/12/2024 上午10時00分00秒,7.56,26.92,,,,,
190,04/12/2024 上午10時30分00秒,7.42,27.00,,,,,
191,04/12/2024 上午11時00分00秒,7.48,27.14,,,,,
192,04/12/2024 上午11時30分00秒,7.45,28.16,,,,,
193,04/12/2024 下午12時00分00秒,7.30,29.80,,,,,
194,04/12/2024 下午12時30分00秒,7.21,30.24,,,,,
195,04/12/2024 下午01時00分00秒,7.11,30.32,,,,,
196,04/12/2024 下午01時30分00秒,7.03,31.34,,,,,
197,04/12/2024 下午02時00分00秒,6.90,32.36,,,,,
198,04/12/2024 下午02時30分00秒,7.01,31.46,,,,,
199,04/12/2024 下午03時00分00秒,7.12,30.42,,,,,
200,04/12/2024 下午03時30分00秒,7.18,30.08,,,,,
201,04/12/2024 下午04時00分00秒,7.20,29.88,,,,,
202,04/12/2024 下午04時30分00秒,7.20,29.72,,,,,
203,04/12/2024 下午05時00分00秒,7.21,29.56,,,,,
204,04/12/2024 下午05時30分00秒,7.24,29.42,,,,,
205,04/12/2024 下午06時00分00秒,7.25,29.28,,,,,
206,04/12/2024 下午06時30分00秒,7.27,29.18,,,,,
207,04/12/2024 下午07時00分00秒,7.28,29.10,,,,,
208,04/12/2024 下午07時30分00秒,7.30,29.02,,,,,
209,04/12/2024 下午08時00分00秒,7.31,28.90,,,,,
210,04/12/2024 下午08時30分00秒,7.34,28.80,,,,,
211,04/12/2024 下午09時00分00秒,7.35,28.72,,,,,
212,04/12/2024 下午09時30分00秒,7.36,28.64,,,,,
213,04/12/2024 下午10時00分00秒,7.37,28.60,,,,,
214,04/12/2024 下午10時30分00秒,7.37,28.54,,,,,
215,04/12/2024 下午11時00分00秒,7.36,28.52,,,,,
216,04/12/2024 下午11時30分00秒,7.36,28.50,,,,,
217,04/13/2024 上午12時00分00秒,7.37,28.46,,,,,
218,04/13/2024 上午12時30分00秒,7.37,28.44,,,,,
219,04/13/2024 上午01時00分00秒,7.38,28.40,,,,,
220,04/13/2024 上午01時30分00秒,7.37,28.38,,,,,
221,04/13/2024 上午02時00分00秒,7.38,28.34,,,,,
222,04/13/2024 上午02時30分00秒,7.39,28.32,,,,,
223,04/13/2024 上午03時00分00秒,7.38,28.28,,,,,
224,04/13/2024 上午03時30分00秒,7.38,28.26,,,,,
225,04/13/2024 上午04時00分00秒,7.39,28.22,,,,,
226,04/13/2024 上午04時30分00秒,7.40,28.20,,,,,
227,04/13/2024 上午05時00分00秒,7.40,28.16,,,,,
228,04/13/2024 上午05時30分00秒,7.41,28.14,,,,,
229,04/13/2024 上午06時00分00秒,7.42,28.10,,,,,
230,04/13/2024 上午06時30分00秒,7.42,28.06,,,,,
231,04/13/2024 上午07時00分00秒,7.42,28.02,,,,,
232,04/13/2024 上午07時30分00秒,7.44,28.00,,,,,
233,04/13/2024 上午08時00分00秒,7.44,27.98,,,,,
234,04/13/2024 上午08時30分00秒,7.43,27.98,,,,,
235,04/13/2024 上午09時00分00秒,7.44,27.96,,,,,
236,04/13/2024 上午09時30分00秒,7.43,27.96,,,,,
237,04/13/2024 上午10時00分00秒,7.44,27.96,,,,,
238,04/13/2024 上午10時30分00秒,7.42,27.96,,,,,
239,04/13/2024 上午11時00分00秒,7.39,27.98,,,,,
240,04/13/2024 上午11時30分00秒,7.37,28.18,,,,,
241,04/13/2024 下午12時00分00秒,7.25,28.66,,,,,
242,04/13/2024 下午12時30分00秒,7.20,28.66,,,,,
243,04/13/2024 下午01時00分00秒,7.19,28.90,,,,,
244,04/13/2024 下午01時30分00秒,7.17,29.14,,,,,
245,04/13/2024 下午02時00分00秒,7.15,29.26,,,,,
246,04/13/2024 下午02時30分00秒,7.12,29.32,,,,,
247,04/13/2024 下午03時00分00秒,7.11,29.26,,,,,
248,04/13/2024 下午03時30分00秒,7.09,29.04,,,,,
249,04/13/2024 下午04時00分00秒,7.13,28.84,,,,,
250,04/13/2024 下午04時30分00秒,7.15,28.64,,,,,
251,04/13/2024 下午05時00分00秒,7.25,28.20,,,,,
252,04/13/2024 下午05時30分00秒,7.27,27.66,,,,,
253,04/13/2024 下午06時00分00秒,7.42,27.28,,,,,
254,04/13/2024 下午06時30分00秒,7.52,26.88,,,,,
255,04/13/2024 下午07時00分00秒,7.55,26.70,,,,,
256,04/13/2024 下午07時30分00秒,7.54,26.72,,,,,
257,04/13/2024 下午08時00分00秒,7.53,26.84,,,,,
258,04/13/2024 下午08時30分00秒,7.51,26.94,,,,,
259,04/13/2024 下午09時00分00秒,7.50,27.06,,,,,
260,04/13/2024 下午09時30分00秒,7.49,27.16,,,,,
261,04/13/2024 下午10時00分00秒,7.50,27.12,,,,,
262,04/13/2024 下午10時30分00秒,7.52,26.92,,,,,
263,04/13/2024 下午11時00分00秒,7.56,26.70,,,,,
264,04/13/2024 下午11時30分00秒,7.57,26.54,,,,,
265,04/14/2024 上午12時00分00秒,7.59,26.38,,,,,
266,04/14/2024 上午12時30分00秒,7.60,26.26,,,,,
267,04/14/2024 上午01時00分00秒,7.61,26.18,,,,,
268,04/14/2024 上午01時30分00秒,7.62,26.10,,,,,
269,04/14/2024 上午02時00分00秒,7.62,26.04,,,,,
270,04/14/2024 上午02時30分00秒,7.63,25.98,,,,,
271,04/14/2024 上午03時00分00秒,7.62,25.94,,,,,
272,04/14/2024 上午03時30分00秒,7.64,25.92,,,,,
273,04/14/2024 上午04時00分00秒,7.61,26.08,,,,,
274,04/14/2024 上午04時30分00秒,7.60,26.26,,,,,
275,04/14/2024 上午05時00分00秒,7.58,26.42,,,,,
276,04/14/2024 上午05時30分00秒,7.56,26.56,,,,,
277,04/14/2024 上午06時00分00秒,7.54,26.66,,,,,
278,04/14/2024 上午06時30分00秒,7.54,26.76,,,,,
279,04/14/2024 上午07時00分00秒,7.52,26.84,,,,,
280,04/14/2024 上午07時30分00秒,7.52,26.92,,,,,
281,04/14/2024 上午08時00分00秒,7.51,26.98,,,,,
282,04/14/2024 上午08時30分00秒,7.50,27.04,,,,,
283,04/14/2024 上午09時00分00秒,7.50,27.10,,,,,
284,04/14/2024 上午09時30分00秒,7.50,27.14,,,,,
285,04/14/2024 上午10時00分00秒,7.49,27.20,,,,,
286,04/14/2024 上午10時30分00秒,7.47,27.24,,,,,
287,04/14/2024 上午11時00分00秒,7.46,27.30,,,,,
288,04/14/2024 上午11時30分00秒,7.45,27.36,,,,,
289,04/14/2024 下午12時00分00秒,7.44,27.40,,,,,
290,04/14/2024 下午12時30分00秒,7.43,27.42,,,,,
291,04/14/2024 下午01時00分00秒,7.45,27.14,,,,,
292,04/14/2024 下午01時30分00秒,7.49,26.90,,,,,
293,04/14/2024 下午02時00分00秒,7.50,26.80,,,,,
294,04/14/2024 下午02時30分00秒,7.50,26.78,,,,,
295,04/14/2024 下午03時00分00秒,7.50,26.80,,,,,
296,04/14/2024 下午03時30分00秒,7.49,26.80,,,,,
297,04/14/2024 下午04時00分00秒,7.50,26.80,,,,,
298,04/14/2024 下午04時30分00秒,7.51,26.78,,,,,
299,04/14/2024 下午05時00分00秒,7.50,26.76,,,,,
300,04/14/2024 下午05時30分00秒,7.52,26.74,,,,,
301,04/14/2024 下午06時00分00秒,7.51,26.80,,,,,
302,04/14/2024 下午06時30分00秒,7.49,26.94,,,,,
303,04/14/2024 下午07時00分00秒,7.48,27.06,,,,,
304,04/14/2024 下午07時30分00秒,7.47,27.20,,,,,
305,04/14/2024 下午08時00分00秒,7.46,27.32,,,,,
306,04/14/2024 下午08時30分00秒,7.44,27.40,,,,,
307,04/14/2024 下午09時00分00秒,7.43,27.50,,,,,
308,04/14/2024 下午09時30分00秒,7.41,27.58,,,,,
309,04/14/2024 下午10時00分00秒,7.42,27.44,,,,,
310,04/14/2024 下午10時30分00秒,7.44,27.22,,,,,
311,04/14/2024 下午11時00分00秒,7.46,27.04,,,,,
312,04/14/2024 下午11時30分00秒,7.50,26.92,,,,,
313,04/15/2024 上午12時00分00秒,7.50,26.80,,,,,
314,04/15/2024 上午12時30分00秒,7.51,26.70,,,,,
315,04/15/2024 上午01時00分00秒,7.51,26.62,,,,,
316,04/15/2024 上午01時30分00秒,7.51,26.68,,,,,
317,04/15/2024 上午02時00分00秒,7.49,26.82,,,,,
318,04/15/2024 上午02時30分00秒,7.49,26.96,,,,,
319,04/15/2024 上午03時00分00秒,7.47,27.10,,,,,
320,04/15/2024 上午03時30分00秒,7.44,27.20,,,,,
321,04/15/2024 上午04時00分00秒,7.43,27.30,,,,,
322,04/15/2024 上午04時30分00秒,7.43,27.38,,,,,
323,04/15/2024 上午05時00分00秒,7.41,27.46,,,,,
324,04/15/2024 上午05時30分00秒,7.41,27.52,,,,,
325,04/15/2024 上午06時00分00秒,7.41,27.56,,,,,
326,04/15/2024 上午06時30分00秒,7.40,27.60,,,,,
327,04/15/2024 上午07時00分00秒,7.40,27.66,,,,,
328,04/15/2024 上午07時30分00秒,7.40,27.68,,,,,
329,04/15/2024 上午08時00分00秒,7.38,27.72,,,,,
330,04/15/2024 上午08時30分00秒,7.39,27.76,,,,,
331,04/15/2024 上午09時00分00秒,7.38,27.80,,,,,
332,04/15/2024 上午09時30分00秒,7.37,27.80,,,,,
333,04/15/2024 上午09時51分01秒,,,已記錄,,,,
334,04/15/2024 上午09時51分24秒,,,,已記錄,,,
335,04/15/2024 上午09時51分29秒,,,,,已記錄,,
336,04/15/2024 上午09時51分30秒,,,,,,已記錄,已記錄
